ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul (Blackwell sm_121)
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 19.513s
ds4: cuda backend initialized for graph diagnostics
ds4: metal indexer stage layer=42 pos=8192 tokens=1 comp=2048 decode_topk=0.035 ms
ds4: metal indexer stage layer=42 pos=8192 tokens=1 comp=2048 decode_attention=0.183 ms
ds4: metal indexer stage layer=2 pos=8193 tokens=1 comp=2048 decode_score=0.036 ms
ds4: metal indexer stage layer=2 pos=8193 tokens=1 comp=2048 decode_topk=0.036 ms
ds4: metal indexer stage layer=2 pos=8193 tokens=1 comp=2048 decode_attention=0.170 ms
ds4: metal indexer stage layer=4 pos=8193 tokens=1 comp=2048 decode_score=0.036 ms
ds4: metal indexer stage layer=4 pos=8193 tokens=1 comp=2048 decode_topk=0.035 ms
ds4: metal indexer stage layer=4 pos=8193 tokens=1 comp=2048 decode_attention=0.172 ms
ds4: metal indexer stage layer=6 pos=8193 tokens=1 comp=2048 decode_score=0.036 ms
ds4: metal indexer stage layer=6 pos=8193 tokens=1 comp=2048 decode_topk=0.035 ms
ds4: metal indexer stage layer=6 pos=8193 tokens=1 comp=2048 decode_attention=0.175 ms
