ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 ffn_hc_pre=0.058 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 routed_moe=0.365 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 shared_gate_up=0.095 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=6 pos=8192 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 attn_hc_pre=0.049 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 q_path=0.373 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 kv_path=0.026 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 compressor_indexer=0.049 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 attention=0.336 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 attn_output=0.321 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 router=0.031 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 shared_down=0.059 ms
ds4: metal layer stage part=decode layer=7 pos=8192 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 q_path=0.228 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 kv_path=0.015 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 compressor_indexer=0.272 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 attention=0.178 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 attn_output=0.441 ms
ds4: metal layer stage part=decode layer=8 pos=8192 tokens=1 attn_hc_post=0.002 ms
