ds4-bench: context buffers 228.59 MiB (ctx=2051, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=514)
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 router=0.027 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 routed_moe=0.354 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 shared_down=0.057 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 attn_hc_pre=0.072 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 q_path=0.232 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 kv_path=0.024 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 compressor_indexer=0.191 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 attention=0.426 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 attn_output=0.341 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 ffn_hc_pre=0.067 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 routed_moe=0.363 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=6 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 attn_hc_pre=0.074 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 q_path=0.231 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 compressor_indexer=0.078 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 attention=0.092 ms
ds4: metal layer stage part=decode layer=7 pos=2048 tokens=1 attn_output=0.333 ms
